id,town,area,latitude,longitude,region,monitoredVotes,registered,photoVoices,officialVotes,officialVoters,against_registered,against_officialVotes,against_photoVoices,cherechen_registered,cherechen_officialVotes,cherechen_photoVoices,corrupted_registered,corrupted_officialVotes,corrupted_photoVoices,dmitriyev_registered,dmitriyev_officialVotes,dmitriyev_photoVoices,ignore_registered,ignore_officialVotes,ignore_photoVoices,kanopatskaja_registered,kanopatskaja_officialVotes,kanopatskaja_photoVoices,lukashenko_registered,lukashenko_officialVotes,lukashenko_photoVoices,tihanovkaja_registered,tihanovkaja_officialVotes,tihanovkaja_photoVoices,zubr_id,observers,wrong-voters-number,major-violations,minor-violations
01-010-0001,Brest,city,52.089515,23.680013,1,,486,256,1319.0,1656.0,9,96.0,2,4,16.0,0,1,5.0,1,1,21.0,0,0,,0,0,16.0,0,5,464.0,0,466,701.0,253,911,2,False,False,False
01-010-0002,Brest,city,52.09133,23.652785,1,,474,291,2249.0,2646.0,8,194.0,5,1,32.0,1,0,13.0,0,5,43.0,1,0,,0,1,25.0,0,3,994.0,0,456,948.0,284,912,6,False,True,False
01-010-0004,Brest,city,52.098645,23.654222,1,,275,154,1714.0,1805.0,8,97.0,1,1,24.0,0,0,15.0,0,4,32.0,0,1,,0,1,26.0,0,0,1125.0,0,260,395.0,153,914,1,False,False,False
01-010-0005,Brest,city,52.099618,23.649713,1,,334,179,2122.0,2270.0,7,91.0,1,1,50.0,1,1,0.0,0,0,42.0,0,1,,1,1,21.0,1,2,1506.0,1,321,412.0,174,915,3,False,True,True
01-010-0006,Brest,city,52.105589,23.646314,1,,495,307,2383.0,2746.0,3,174.0,1,0,48.0,0,0,0.0,0,9,53.0,3,1,,0,2,28.0,2,4,923.0,0,476,1157.0,301,916,3,False,False,True
01-010-0007,Brest,city,52.104868,23.650827,1,,358,196,1829.0,2319.0,5,146.0,2,3,44.0,0,0,0.0,0,2,43.0,0,1,,0,0,19.0,0,1,567.0,0,346,1010.0,194,917,5,False,False,True
01-010-0008,Brest,city,52.114542,23.646281,1,,354,206,1772.0,1955.0,6,78.0,1,3,41.0,2,0,0.0,0,3,34.0,1,0,,0,1,34.0,1,3,803.0,0,338,782.0,201,918,1,False,False,False
01-010-0010,Brest,city,52.138598,23.674695,1,,126,89,973.0,1107.0,0,47.0,0,0,10.0,0,0,0.0,0,0,22.0,0,0,,0,0,10.0,0,0,441.0,0,126,443.0,89,920,2,False,False,False
01-010-0011,Brest,city,52.127979,23.652623,1,,315,163,1807.0,1995.0,5,81.0,4,1,15.0,1,0,0.0,0,1,26.0,0,2,,0,0,19.0,0,3,984.0,0,303,682.0,158,921,1,False,False,False
01-010-0012,Brest,city,52.119652,23.656486,1,,299,177,1504.0,1737.0,3,23.0,0,2,26.0,1,0,0.0,0,2,21.0,1,1,,0,1,38.0,1,4,863.0,0,286,533.0,174,922,3,False,False,False
01-010-0015,Brest,city,52.086145,23.699866,1,,191,111,911.0,1012.0,2,52.0,0,2,21.0,1,0,5.0,0,2,21.0,0,1,,0,0,9.0,0,2,393.0,1,182,410.0,109,925,2,False,False,True
01-010-0017,Brest,city,52.087186,23.687101,1,,239,152,1190.0,1442.0,3,64.0,2,0,7.0,0,0,0.0,0,0,6.0,0,0,,0,1,5.0,1,2,608.0,1,233,500.0,148,927,3,False,False,False
01-010-0020,Brest,city,52.090434,23.698276,1,,135,82,624.0,837.0,3,46.0,1,0,7.0,0,0,9.0,0,2,16.0,1,1,,0,0,11.0,0,0,199.0,0,129,336.0,80,930,2,False,True,True
01-010-0021,Brest,city,52.090434,23.698276,1,,208,129,1116.0,1421.0,7,34.0,4,0,14.0,0,0,1.0,0,0,9.0,0,2,,0,1,11.0,1,0,597.0,0,198,450.0,124,931,1,True,False,True
01-010-0022,Brest,city,52.093123,23.697054,1,,261,162,1256.0,1564.0,2,49.0,2,1,21.0,0,0,4.0,0,1,17.0,0,0,,0,0,25.0,0,1,622.0,0,256,518.0,160,932,1,False,False,False
01-010-0023,Brest,city,52.09626,23.694422,1,,215,138,1394.0,1673.0,0,79.0,0,0,16.0,0,0,0.0,0,1,42.0,1,2,,0,1,23.0,0,0,776.0,0,211,458.0,137,933,0,False,False,False
01-010-0025,Brest,city,52.113027,23.728962,1,,420,241,1898.0,2217.0,5,130.0,1,2,36.0,0,3,17.0,1,4,36.0,2,1,,0,1,24.0,1,8,548.0,0,396,1107.0,236,935,3,False,False,True
01-010-0027,Brest,city,52.099513,23.685708,1,,260,168,1360.0,1407.0,5,90.0,2,1,10.0,1,0,6.0,0,0,19.0,0,0,,0,1,9.0,0,2,761.0,1,251,465.0,164,937,1,False,False,True
01-010-0028,Brest,city,52.102971,23.684936,1,,268,170,1659.0,1953.0,10,424.0,6,0,29.0,0,0,0.0,0,1,33.0,0,1,,0,1,35.0,0,0,374.0,0,255,764.0,164,938,2,False,False,False
01-010-0030,Brest,city,52.117069,23.688412,1,,259,157,1339.0,1704.0,5,98.0,1,0,13.0,0,0,0.0,0,1,18.0,0,1,,0,0,15.0,0,4,778.0,2,248,417.0,154,940,3,False,False,True
01-010-0031,Brest,city,52.123014,23.695365,1,,252,160,1906.0,2017.0,4,116.0,2,2,65.0,0,0,0.0,0,2,47.0,0,0,,0,0,56.0,0,1,1012.0,0,243,610.0,158,941,2,True,False,True
01-010-0032,Brest,city,52.111655,23.686032,1,,264,150,1870.0,1885.0,5,107.0,2,0,37.0,0,0,15.0,0,0,47.0,0,0,,0,0,33.0,0,0,920.0,0,259,711.0,148,942,2,False,False,True
